IP,Date & Time (UTC),Page URL,Referral URL,URl Level 1,URl Level 2,URl Level 3,URl Level 4,URl Level 5,URL Extras
69.191.211.207,2025-02-01 00:17:10,/company/investors/,-,company,investors,,,,
180.179.180.41,2025-02-01 00:17:16,/company/careers/inside-sales-representative/,-,company,careers,inside-sales-representative,,,
180.179.180.41,2025-02-01 00:17:27,/company/careers/performance-test-engineer/,-,company,careers,performance-test-engineer,,,
3.141.5.27,2025-02-01 00:17:37,/company/news/press-releases/,-,company,news,press-releases,,,
89.246.241.14,2025-02-01 00:17:37,/company/news/press-releases/hypergrowth-online-retailer-selects-egain-knowledge-hub-to-deliver-wow-experiences/,-,company,news,press-releases,hypergrowth-online-retailer-selects-egain-knowledge-hub-to-deliver-wow-experiences,,
180.179.180.41,2025-02-01 00:17:38,/company/careers/director-channel-sales/,-,company,careers,director-channel-sales,,,
162.249.164.251,2025-02-01 00:17:39,/,-,,,,,,
69.191.211.202,2025-02-01 00:17:40,/company/investors/,-,company,investors,,,,
216.170.118.89,2025-02-01 00:17:41,/,-,,,,,,
217.194.131.48,2025-02-01 00:17:43,/,-,,,,,,
83.229.27.34,2025-02-01 00:17:45,/,-,,,,,,
213.255.193.60,2025-02-01 00:17:46,/,-,,,,,,
162.209.124.98,2025-02-01 00:18:01,/company/events/,-,company,events,,,,
69.191.211.218,2025-02-01 00:18:11,/company/investors/,-,company,investors,,,,
98.159.36.22,2025-02-01 00:18:35,/copyright/,-,copyright,,,,,
98.159.36.22,2025-02-01 00:18:37,/knowledge-management-in-it/,https://www.egain.com/copyright/,knowledge-management-in-it,,,,,
83.229.30.17,2025-02-01 00:18:38,/,-,,,,,,
83.229.30.200,2025-02-01 00:18:40,/,-,,,,,,
69.191.211.201,2025-02-01 00:18:41,/company/investors/,-,company,investors,,,,
217.194.137.93,2025-02-01 00:18:43,/,-,,,,,,
162.249.167.253,2025-02-01 00:18:45,/,-,,,,,,
83.229.59.199,2025-02-01 00:18:46,/,-,,,,,,
64.227.97.31,2025-02-01 00:18:47,/,-,,,,,,
64.227.97.31,2025-02-01 00:18:48,/ai-coach-for-banking/,-,ai-coach-for-banking,,,,,
64.227.97.31,2025-02-01 00:18:48,/ai-knowledge-for-field-service/,-,ai-knowledge-for-field-service,,,,,
64.227.97.31,2025-02-01 00:18:48,/ai-knowledge-hub/,-,ai-knowledge-hub,,,,,
34.238.56.48,2025-02-01 00:18:54,/,-,,,,,,
34.238.56.48,2025-02-01 00:18:54,/,-,,,,,,
69.191.211.211,2025-02-01 00:19:11,/company/investors/,-,company,investors,,,,
35.160.202.107,2025-02-01 00:19:29,/,-,,,,,,
51.8.102.150,2025-02-01 00:19:32,/what-is-kcs/,-,what-is-kcs,,,,,
104.169.187.45,2025-02-01 00:19:32,/copyright/,-,copyright,,,,,
104.169.187.45,2025-02-01 00:19:37,/knowledge-management-in-it/,https://www.egain.com/copyright/,knowledge-management-in-it,,,,,
194.124.255.73,2025-02-01 00:19:38,/,-,,,,,,
83.229.114.222,2025-02-01 00:19:40,/,-,,,,,,
87.120.252.207,2025-02-01 00:19:41,/copyright/,-,copyright,,,,,
69.191.211.202,2025-02-01 00:19:42,/company/investors/,-,company,investors,,,,
87.120.252.207,2025-02-01 00:19:42,/knowledge-management-in-it/,https://www.egain.com/copyright/,knowledge-management-in-it,,,,,
209.99.164.137,2025-02-01 00:19:42,/,-,,,,,,
162.249.167.212,2025-02-01 00:19:44,/,-,,,,,,
162.249.166.145,2025-02-01 00:19:46,/,-,,,,,,
69.191.211.216,2025-02-01 00:20:12,/company/investors/,-,company,investors,,,,
3.128.63.195,2025-02-01 00:20:23,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
52.39.100.237,2025-02-01 00:20:26,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
3.128.63.195,2025-02-01 00:20:32,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
3.128.63.195,2025-02-01 00:20:33,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
83.229.60.111,2025-02-01 00:20:39,/,-,,,,,,
78.138.53.95,2025-02-01 00:20:41,/,-,,,,,,
69.191.211.211,2025-02-01 00:20:42,/company/investors/,-,company,investors,,,,
83.229.12.163,2025-02-01 00:20:43,/,-,,,,,,
194.126.194.107,2025-02-01 00:20:45,/,-,,,,,,
83.229.30.177,2025-02-01 00:20:47,/,-,,,,,,
45.77.146.191,2025-02-01 00:20:49,/company/investors/,-,company,investors,,,,
45.77.146.191,2025-02-01 00:20:50,/company/annual-reports/,-,company,annual-reports,,,,
45.77.146.191,2025-02-01 00:20:50,/company/investors/annual-reports/,-,company,investors,annual-reports,,,
45.77.146.191,2025-02-01 00:20:50,/company/events/,-,company,events,,,,
69.222.188.146,2025-02-01 00:20:57,/company/careers/sales-operations-analyst/,https://www.indeed.com/,company,careers,sales-operations-analyst,,,
157.66.54.162,2025-02-01 00:20:58,/copyright/,-,copyright,,,,,
3.98.194.109,2025-02-01 00:20:59,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
157.66.54.162,2025-02-01 00:21:01,/knowledge-management-in-it/,https://www.egain.com/copyright/,knowledge-management-in-it,,,,,
134.16.69.238,2025-02-01 00:21:04,/,-,,,,,,
52.26.161.96,2025-02-01 00:21:04,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
69.191.211.207,2025-02-01 00:21:13,/company/investors/,-,company,investors,,,,
89.246.241.14,2025-02-01 00:21:15,/,-,,,,,,
154.54.249.207,2025-02-01 00:21:21,/success/past-awards/,-,success,past-awards,,,,
216.170.123.124,2025-02-01 00:21:38,/,-,,,,,,
83.229.110.239,2025-02-01 00:21:40,/,-,,,,,,
178.20.44.82,2025-02-01 00:21:41,/partner-deal-registration-form/,https://www.egain.com/partner-deal-registration-form/,partner-deal-registration-form,,,,,
213.255.204.188,2025-02-01 00:21:42,/,-,,,,,,
69.191.211.216,2025-02-01 00:21:43,/company/investors/,-,company,investors,,,,
209.99.168.70,2025-02-01 00:21:44,/,-,,,,,,
206.41.176.16,2025-02-01 00:21:46,/,-,,,,,,
199.33.32.40,2025-02-01 00:21:49,/,-,,,,,,
199.33.32.40,2025-02-01 00:21:49,/company/news/press_releases/egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications/,-,company,news,press_releases,egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications,,
199.33.32.40,2025-02-01 00:21:50,/company/news/press-releases/egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications/,-,company,news,press-releases,egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications,,
199.33.32.40,2025-02-01 00:21:50,/company/news/press-releases/,-,company,news,press-releases,,,
157.55.39.9,2025-02-01 00:21:51,/products/email-management-software,-,products,email-management-software,,,,
52.12.8.59,2025-02-01 00:21:53,/company/events/feed/,-,company,events,feed,,,
64.222.84.196,2025-02-01 00:21:54,/,-,,,,,,
64.222.84.196,2025-02-01 00:21:55,/,-,,,,,,
52.12.8.59,2025-02-01 00:21:57,/company/events/feed/,-,company,events,feed,,,
157.55.39.200,2025-02-01 00:22:07,/products/email-management-software/,-,products,email-management-software,,,,
69.191.211.210,2025-02-01 00:22:13,/company/investors/,-,company,investors,,,,
213.255.204.99,2025-02-01 00:22:38,/,-,,,,,,
213.255.204.248,2025-02-01 00:22:40,/,-,,,,,,
72.14.201.205,2025-02-01 00:22:41,/ivr-analytics/,https://www.google.com/,ivr-analytics,,,,,
216.170.118.82,2025-02-01 00:22:42,/,-,,,,,,
46.8.14.233,2025-02-01 00:22:43,/knowledge-management-in-contact-centers/,http://egain.com/knowledge-management-in-contact-centers/,knowledge-management-in-contact-centers,,,,,
69.191.211.210,2025-02-01 00:22:43,/company/investors/,-,company,investors,,,,
83.229.118.204,2025-02-01 00:22:44,/,-,,,,,,
46.8.14.233,2025-02-01 00:22:44,/knowledge-management-in-contact-centers/,https://egain.com/knowledge-management-in-contact-centers/,knowledge-management-in-contact-centers,,,,,
46.8.14.233,2025-02-01 00:22:46,/knowledge-management-in-contact-centers/,https://www.egain.com/knowledge-management-in-contact-centers/,knowledge-management-in-contact-centers,,,,,
83.229.13.67,2025-02-01 00:22:46,/,-,,,,,,
69.191.211.211,2025-02-01 00:23:14,/company/investors/,-,company,investors,,,,
5.62.157.118,2025-02-01 00:23:38,/,-,,,,,,
66.249.66.3,2025-02-01 00:23:39,/,-,,,,,,
66.249.66.3,2025-02-01 00:23:39,/,-,,,,,,
209.242.223.138,2025-02-01 00:23:40,/,-,,,,,,
203.166.155.42,2025-02-01 00:23:42,/,-,,,,,,
69.191.211.203,2025-02-01 00:23:44,/company/investors/,-,company,investors,,,,
209.242.223.162,2025-02-01 00:23:44,/,-,,,,,,
162.249.164.168,2025-02-01 00:23:46,/,-,,,,,,
66.249.66.19,2025-02-01 00:23:46,/,-,,,,,,
66.249.66.19,2025-02-01 00:23:46,/,-,,,,,,
34.238.56.48,2025-02-01 00:23:52,/,-,,,,,,
69.191.211.215,2025-02-01 00:24:14,/company/investors/,-,company,investors,,,,
